lg03	Htr-GVL-A000541	25.3
lg03	Htr-GVL-A001211	25.6
lg03	Htr-GVL-A002051	25.6
lg03	Htr-GVL-A002090	26.3
lg03	Htr-GVL-A000968	26.6
lg03	Htr-GVL-A001035	26.8
lg03	Htr-GVL-A001879	27.3
lg03	Htr-GVL-A000362	28.8
lg03	Htr-GVL-A000675	29.0
lg03	Htr-GVL-A002097	29.3
lg03	Htr-GVL-A002103	29.4
lg03	Htr-GVL-A000251	29.9
lg03	Htr-GVL-A000710	30.3
lg03	Htr-GVL-A000520	30.6
lg03	Htr-GVL-A001935	30.6
lg03	Htr-GVL-A000608	31.2
lg03	Htr-GVL-A001004	32.7
lg03	Htr-GVL-A000314	34.7
lg03	Htr-GVL-A001842	35.4
lg03	Htr-GVL-A000777	35.5
lg03	Htr-GVL-A000161	36.6
lg03	Htr-GVL-A001227	37.2
lg03	Htr-GVL-A001377	39.4
lg03	Htr-GVL-A002218	43.9
lg04	Htr-GVL-A001605	0.0
lg04	Htr-GVL-A002018	0.2
lg04	Htr-GVL-A000603	1.2
lg04	Htr-GVL-A001939	2.0
lg04	Htr-GVL-A001595	2.9
lg04	Htr-GVL-A001735	5.7
lg04	Htr-GVL-A000694	5.7
lg04	Htr-GVL-A001632	6.9
lg04	Htr-GVL-A000109	7.3
lg04	Htr-GVL-A001681	7.9
lg04	Htr-GVL-A001616	9.8
lg04	Htr-GVL-A001436	9.9
lg04	Htr-GVL-A000146	10.0
lg04	Htr-GVL-A000581	10.0
lg04	Htr-GVL-A000632	10.0
lg04	Htr-GVL-A000900	10.1
lg04	Htr-GVL-A001535	10.2
lg04	Htr-GVL-A002085	10.7
lg04	Htr-GVL-A001543	10.7
lg04	Htr-GVL-A000225	10.7
lg04	Htr-GVL-A000593	11.4
lg04	Htr-GVL-A001767	11.8
lg04	Htr-GVL-A000959	12.1
lg04	Htr-GVL-A001298	12.4
lg04	Htr-GVL-A001787	12.4
lg04	Htr-GVL-A002064	12.7
lg04	Htr-GVL-A001311	14.2
lg04	Htr-GVL-A001918	16.7
lg04	Htr-GVL-A001719	17.6
lg04	Htr-GVL-A000025	18.0
lg04	Htr-GVL-A000142	18.1
lg04	Htr-GVL-A001289	18.2
lg04	Htr-GVL-A000830	18.7
lg04	Htr-GVL-A001947	18.7
lg04	Htr-GVL-A000216	18.8
lg04	Htr-GVL-A000436	19.6
lg04	Htr-GVL-A000767	19.9
lg04	Htr-GVL-A000017	21.3
lg04	Htr-GVL-A000008	21.9
lg04	Htr-GVL-A001831	22.1
lg04	Htr-GVL-A000876	22.8
lg04	Htr-GVL-A001559	23.5
lg04	Htr-GVL-A000374	23.6
lg05	Htr-GVL-A002155	0.0
lg05	Htr-GVL-A002179	0.7
lg05	Htr-GVL-A000964	1.6
lg05	Htr-GVL-A001173	2.2
lg05	Htr-GVL-A000248	3.2
lg05	Htr-GVL-A001808	3.2
lg05	Htr-GVL-A002099	3.3
lg05	Htr-GVL-A001107	3.5
lg05	Htr-GVL-A000728	3.5
lg05	Htr-GVL-A000218	4.7
lg05	Htr-GVL-A000432	4.8
lg05	Htr-GVL-A000482	5.0
lg05	Htr-GVL-A000319	5.4
